	Year	Num	Non_EU_country	Sentence
93	1995	1217000e	['Canada']	The Chair said that no draft decision on technology transfer was yet available and asked the Philippines, on behalf of the G-77, and France, on behalf of EU, to produce a document in time for Tuesday's session of the COW. Estrada also said that no consensus was yet apparent on a means to decide on the location of the Permanent Secretariat. Various means have been considered, including an informal confidential survey of delegations' preferences by secret ballot, with an absolute majority deciding between the four offers. He said the original agreement was that a decision would be taken at Berlin and preferably prior to the ministerial session, but one of the four candidate delegations has insisted that the decision not be taken in Berlin. He said he recognized that the general feeling of the house was to take a decision at COP-1. Canada said its understanding was that there is no consensus on this point. The Chair said he would wait for Canada to support his proposal.
28	1995	1214000e	['Switzerland']	"Switzerland said Parties should prepare a protocol by 1997. She called foran ad hoc working group to conduct negotiations, adopt a mandate andschedule, and take a coordinated and cooperative approach to reductions. Theseapproaches could include emissions and energy efficiency standards for appliances,transportation fuel efficiency standards, transport taxes, and carbon and/or energytaxes. Hungary said negotiations on further measures should begin as soonas possible, with COP-1 deciding on a mandate for negotiations based on the EU""sproposal. Germany said a commitment to at least keep emissions at 1990levels after 2000 is a necessary step irrespective of other action on reductions. Animmediate framework for reductions is an urgent requirement. Delegates should adopta clear mandate as a starting point for protocol negotiations. He added that only ifindustrialized countries agreed to reductions could other States be expected to take oncommitments at an appropriate time."
599	1995	1215000e	['United States']	JOINT IMPLEMENTATION: The Chair introduced document A/AC.237/91/Add.1, which contains the text of proposals from the G-77 and China, the EU and the US. The Philippines, on behalf of the G-77 and China, reiterated points contained in their proposal submitted at INC-11, including the application of emission limits to only Annex I Parties and the distinction between joint activities and joint implementation. Brazil defined JI as a proposed system that allows industrialized countries to have developing countries reduce emissions in their place, and said that some developing countries will accept any terms rather than miss an opportunity for technological growth.
330	1995	1218000e	['United States']	"At the suggestion of France, a footnote was added to L.4 explaining that the workingcapital reserve amounted to 8.3% of the operating budget, equivalent to one month""sbudget. A US recommendation to change a reference in L.8 from a ""special voluntaryfund"" into a ""special fund"" was also agreed. The Executive Secretary indicated thatthe rules describe a special fund with voluntary contributions, but that the amendmentwould not make the contribution an assessed one. The documents were recommendedto the COP for adoption."
331	1995	1218000e	['United States']	An informal working group chaired by Mahmoud Ould El Ghaouth beganconsultations on joint implementation (JI) Tuesday afternoon. A drafting group ofabout 30 delegates began negotiations Tuesday night, working from a paper circulatedby the G-77 and the EU and US draft decisions from INC-11. The drafting group wasexpected to work late into the night.
174	1995	1216000e	['Canada', 'Switzerland']	"Consultations abound in the corridors and offices of the ICC. Amb. Estrada has been holding one-on-one informal consultations on joint implementation. By Saturday afternoon, it was still uncertain whether delegates would be able to reach consensus on a JI pilot phase or if Estrada would be able to produce a Chair's text or summary. Estrada informed delegates during the Saturday afternoon COW that these negotiations were moving ""very slowly,"" and that he did not expect to begin further consultations until the G-77 and China had been given additional time to condider the adequacy of commitments. Estrada has also been consulting with delegates from the four countries who wish to host the Permanent Secretariat (Canada, Germany, Switzerland and Uruguay) to try to reach agreement on a method to use to resolve this pending issue."
332	1995	1218000e	['Canada', 'Switzerland', 'Norway', 'United Kingdom']	"PLENARY: The Ministerial Segment will begin this morning at 11:00 amwith an address with German Chancellor Dr. Helmut Kohl. When the MinisterialSegment resumes at 2:00 pm, the speakers"" list for the six-hour session is expected toinclude ministers and other heads of delegations from the following countries: thePhilippines (on behalf of the G-77), France (on behalf of the EU), Norway, theEuropean Community, Algeria, the Netherlands, Poland, Papua New Guinea, theRussian Federation, Denmark, Venezuela, Germany, Argentina, Australia, Japan,Switzerland, Indonesia, Senegal, the United Kingdom, the United States, New Zealand,Mauritania, Myanmar, Canada, Malaysia, Mexico, Brazil, Luxembourg, Spain andMauritius."
684	1995	1213000e	['Russia']	"4(d) Election of Officers other than the President: The Presidentannounced the following nominations: Africa "" Mauritania and Zimbabwe; Asia ""India and Japan; Eastern Europe "" Hungary and the Russian Federation; LatinAmerica and the Caribbean "" Antigua and Barbuda and Argentina; Western Europeand Others "" Australia and Germany; and AOSIS "" Samoa. Kuwait and SaudiArabia expressed difficulty with Rule 22 on composition of the Bureau. They asked ifthe nominations for Vice-Presidents and the subsidiary bodies are still open, and addedthat they had asked to have OPEC countries represented on the Bureau. The Presidentsaid the COP would apply the Rules of Procedure, but there will still be negotiationson outstanding questions."
39	1995	1212000e	['Liechtenstein']	First review of national communications: To date, 24 Annex I Parties have submitted first national communications describing their efforts at implementing the Convention. In addition, the EC has sent an overview, Belgium has provided a summary, and Liechtenstein (not an Annex I Party) has sent in a national communication. Parties will assess this information and will need to decide on the process for future reviews.
683	1995	1213000e	['Russia']	"4(d) Election of Officers other than the President: The President announced the following nominations: Africa "" Mauritania and Zimbabwe; Asia ""India and Japan; Eastern Europe "" Hungary and the Russian Federation; LatinAmerica and the Caribbean "" Antigua and Barbuda and Argentina; Western Europe and Others "" Australia and Germany; and AOSIS "" Samoa. Kuwait and SaudiArabia expressed difficulty with Rule 22 on composition of the Bureau. They asked ift he nominations for Vice-Presidents and the subsidiary bodies are still open, and added that they had asked to have OPEC countries represented on the Bureau. The President said the COP would apply the Rules of Procedure, but there will still be negotiation son outstanding questions."
600	1995	1215000e	['Russia']	France, on behalf of the EU, called for a progressive approach beginning with a pilot phase that is transparent, well-defined and credible, with no credits for Annex I Parties. JI should not be used to impose new commitments on non-Annex I Parties. The Russian Federation said COP-1 should adopt criteria for JI. He called for equality of participation by all Parties. Costa Rica said that JI provides a possibility for enhancing renewable energy. She supported the participation of the private sector, emphasizing the need for transparency.
27	1995	1214000e	['Canada', 'Norway']	Norway noted that a protocol would avoid reopening the language of theConvention and advocated joint targets for OECD countries based on equitable sharingof responsibility. Canada asked Prof. Bolin if sulfate emissions should bereduced because aerosols produce a cooling effect. Bolin warned against attempts tobalance different emissions. Austria asked Bolin if reducing presentemissions was preferable to later reductions since technological advances will likelyallow easier reductions in the future. Bolin replied that innovations are not guaranteedand measures should not be postponed.
26	1995	1219000e	['Canada', 'Switzerland']	"At the beginning of the afternoon Plenary, Amb. Estrada, Chair of the COW, notedthat the final round of the survey on the location of the Secretariat would take place at3:00 pm. Canada then took the floor to withdraw Toronto""s candidacy to host thePermanent Secretariat. After the final speaker of the day, Estrada announced thatParties participating in the informal survey had selected Bonn as the location of thePermanent Secretariat. Switzerland expressed its regret and congratulated Germany.Germany stated it was aware of the responsibility accompanying the choice, andthanked Estrada and the delegates. The Executive-Secretary of the Interim Secretariat,Michael Zammit Cutajar, thanked Geneva for the hospitality extended since 1991."
685	1995	1213000e	['United States']	The US supported a suggestion by India and the EU to establish a smaller, open-ended group that would be a more appropriate forum for further discussion on this item. TheChair agreed and announced that the first meeting of this group would take place onWednesday evening.
38	1995	1212000e	['Canada', 'Switzerland']	The eleventh and final session of the INC met from 6-17 February 1995, at UN Headquarters in New York. During the two-week session, delegates addressed a wide range of issues including arrangements for the first session of the COP, location of the Permanent Secretariat, Rules of Procedure for the COP, matters relating to commitments, matters relating to arrangements for the financial mechanism, and provision of technical and financial support to developing country Parties. While delegates did agree to maintain the GEF as the interim entity operating the financial mechanism and to finance mitigation activities, little concrete progress was made on other important issues before the Committee. Delegates were unable to take action on the adequacy of commitments or to begin negotiations on a draft protocol submitted by AOSIS or the proposals for further elements of a protocol submitted by Germany. There was no progress on joint implementation. Delegates had little time to address technical and financial support to developing countries. The location of the Permanent Secretariat remains pending, although the four countries offering to host the Secretariat (Canada, Germany, Switzerland and Uruguay) have been asked to negotiate among themselves so that a single nomination is presented to the COP in Berlin. Finally, delegates were unable to reach agreement on the Rules of Procedure, a problem that will haunt the Parties at COP-1, who may find their substantive work hampered by the lack of agreement on voting procedures and the allocation of seats on the COP Bureau.
