Sentence,MaxSum,MMR
"Finland, on behalf of the European Union (EU), highlighted the Stern Review and stressed the need for long-term action where adaptation complements mitigation.","review, union, stressed need, need long term, long term","adaptation complements mitigation, need, need long term, complements, long term, union eu highlighted"
"Algeria, on behalf of the G-77, urged parties to the Convention not to go beyond the original mandate.","behalf 77, original, parties convention, behalf, urged, 77 urged, behalf 77 urged, 77 urged parties","77 urged parties, urged, convention original mandate, behalf 77 urged, behalf, parties, algeria behalf"
"Trinidad and Tobago, on behalf of AOSIS, said the recommendations to COP-1 should include initiating negotiations on a protocol.","aosis said, initiating, recommendations cop, aosis said recommendations, cop include initiating, said recommendations cop, initiating negotiations, include initiating negotiations","include initiating negotiations, said recommendations cop, initiating, recommendations cop include, initiating negotiations protocol, aosis said recommendations, cop include initiating, behalf aosis said"
"The US, supported by the EU, suggested that workshops be organized based on status of preparation of communications, rather than on regions.","supported, eu suggested workshops, based status, status preparation, based, preparation communications regions, workshops organized based, preparation, suggested workshops organized","suggested workshops organized, preparation, preparation communications regions, organized based status, suggested, workshops, workshops organized based"
"Argentina, on behalf of a group of developing countries, and China said measures taken on climate change under the IMO and ICAO should respect the principles and provisions of the Convention, in particular common but differentiated responsibilities (CBDR).","icao respect principles, respect principles, countries china said, china said measures","china said measures, respect principles provisions, group developing countries, developing, principles, icao respect principles"
"CANADA, supported by the US, preferred deciding that the ADP “should aim to” prepare a negotiating text instead of “shall.”",,
This was opposed by the LDCs who cautioned against “slippage in timing.”,,
Benin said the texts are an “excellent” and “significant” step forward towards achieving an international agreement supported by both developed and developing countries.,"agreement, agreement supported developed","achieving international agreement, agreement supported developed, agreement, significant step forward"
"SAUDI ARABIA, supported by the UNITED ARAB EMIRATES and QATAR, noted that the issue had been pending for “a very long time” but requested that reference linking a workshop on 1/CP.10 to a workshop on Protocol Articles 2.3 and 3.14 be deleted.","linking workshop cp, protocol articles 14, long time requested, articles 14","articles 14 deleted, pending long time, linking workshop cp, time"
"The EU, supported by many parties, proposed a draft decision to strengthen the implementation of decision 36/CP.7 (enhancing participation of women in UNFCCC bodies).","decision strengthen, bodies, decision 36 cp, enhancing participation, 36 cp, parties proposed","strengthen implementation decision, parties proposed draft, decision 36 cp, parties proposed"
"CHINA, supported by NIGERIA, SYRIAN ARAB REPUBLIC, OMAN and BRAZIL, stressed the need to mobilize funding for the Adaptation Fund.","arab republic, supported, stressed need, mobilize, need mobilize, need mobilize funding, mobilize funding adaptation","mobilize funding adaptation, stressed, funding adaptation fund, stressed need mobilize, oman, brazil, mobilize, brazil stressed need, need mobilize funding"
"Tuvalu, supported by AOSIS, argued that this agenda item required formal consideration, and proposed suspending the COP until the issue is resolved.","cop, agenda, proposed suspending cop, suspending cop issue, item, tuvalu supported aosis, agenda item required, required formal consideration, consideration proposed suspending","consideration proposed suspending, required formal consideration, resolved, supported aosis argued, agenda item required, cop, tuvalu supported aosis, cop issue"
"The EU, supported by Japan, prefered referring to efforts that parties are able to “undertake,” instead of “make unilaterally.”",,
"Noting potential use of quantitative or qualitative methodologies, Brazil supported “developing countries may also clarify the extent to which enhanced efforts are dependent upon the provision of support.”",,
"Papua New Guinea, supported by Costa Rica, Malaysia and Thailand, expressed concern that the option on land-based accounting was omitted from the Chair's draft text.","based, concern option land, draft, new guinea supported, draft text, accounting, accounting omitted chair, based accounting omitted, thailand expressed concern","thailand expressed concern, draft text, accounting, accounting omitted chair, thailand expressed, based accounting omitted, omitted chair"
"The EU, supported by the US and JAPAN, said donors should not place their resources in the hands of the COP.","eu supported, hands cop, supported, said, said donors place, place resources hands, said donors","said donors, place resources hands, cop, donors place resources, supported japan said, said donors place, place, supported"
"AOSIS, supported by SWITZERLAND and MEXICO, proposed a work programme on areas of high mitigation potential with an initial focus on energy efficiency and renewable energy.","mitigation, work programme areas, efficiency renewable energy, mexico proposed, switzerland mexico proposed, potential initial focus","potential initial focus, proposed, switzerland mexico proposed, focus energy efficiency, mitigation, aosis supported switzerland"
"On the plenary of the Compliance Committee, the G- 77/CHINA, opposed by the US, EU, AUSTRALIA, RUSSIAN FEDERATION and NEW ZEALAND, said it should have an allocation as well as a preliminary examination function.","preliminary, federation new zealand, examination function, 77 china opposed","said allocation preliminary, federation, china opposed eu, preliminary, new zealand said"
"The EU, opposed by the G-77/CHINA, said the objective of the SCCF is to assist developing countries to integrate climate change factors into national sustainable development and poverty reduction strategies, and their implementation.","assist developing, sustainable development poverty, poverty, countries integrate climate, integrate climate change, assist developing countries","assist developing countries, said objective sccf, countries integrate climate, sccf assist developing, china said objective"
"Saudi Arabia, supported by Oman and the EU, and opposed by Canada, requested the exclusion of a Canadian proposal on modalities for the accounting of assigned amounts in relation to cleaner energy exports.","requested exclusion canadian, cleaner, proposal modalities, accounting, proposal modalities accounting, accounting assigned, amounts, canada requested exclusion","canada requested exclusion, cleaner, proposal modalities, modalities accounting assigned, accounting, cleaner energy"
"The US, opposed by Brazil, noted the possibility of convening a “friends of the chair” group while continuing with drafting.","continuing, chair, noted, convening friends, group continuing drafting, continuing drafting, possibility convening friends","possibility convening friends, chair, continuing drafting, brazil noted possibility, convening friends chair, possibility"
"Australia, with the US, Canada and the EU, and opposed by the G-77/China and AOSIS, supported addressing the issue of “factoring out” direct human-induced effects from the indirect and natural effects of LULUCF activities.","factoring direct, induced effects indirect","addressing issue factoring, natural effects, supported addressing issue"
"Opposed by TUVALU, the EU recommended recording Tuvalu's concerns in the meeting's minutes instead of amending the draft conclusions.","conclusions, recommended, tuvalu eu recommended, draft, concerns meeting, instead amending, meeting minutes instead, recording tuvalu, minutes, amending draft conclusions","amending draft conclusions, minutes instead, draft, tuvalu eu recommended, concerns meeting, recording tuvalu, instead amending, recommended recording, opposed"
"The EU, opposed by SAUDI ARABIA, suggested developing a practical, longer-term work programme.","eu opposed saudi, work, practical longer term, developing practical longer","suggested developing practical, longer term work, developing practical longer, arabia suggested developing, programme, developing"
"AUSTRALIA, opposed by the G-77/CHINA, proposed adding a procedural paragraph that would list work to be done.","adding, procedural, proposed, procedural paragraph list, proposed adding procedural, adding procedural paragraph","adding procedural paragraph, procedural, australia opposed 77, proposed adding procedural, list, procedural paragraph, china proposed, china proposed adding"
"Japan, Saudi Arabia, Algeria, the United Arab Emirates, Syria, Nigeria, Libya and others, opposed by Grenada and Tuvalu, stressed the importance of including CCS under the CDM.","ccs, arab emirates syria, nigeria libya opposed, stressed importance including, libya opposed grenada","including ccs cdm, syria nigeria libya, tuvalu stressed importance, stressed importance including, nigeria libya opposed, libya opposed grenada, ccs cdm"
CHINA opposed taking a single decision on all mechanisms as this was not supported by the Protocol.,"opposed, taking single, opposed taking single, opposed taking, mechanisms supported protocol, mechanisms, china opposed taking, taking single decision","taking single decision, opposed, mechanisms supported protocol, opposed taking single, china opposed taking, decision, mechanisms supported, taking, mechanisms"
